MoldCutterID,CutterID,MoldDesignID,DateEntry,MoldCutterNotes,UpdatedAt,UpdatedBy
2718,615,3199,1/28/2025,,,
2719,615,3200,1/28/2025,,,
788,616,1435,8/16/2024,,,
548,617,301,8/16/2024,,,
549,617,307,8/16/2024,,,
550,617,308,8/16/2024,,,
551,617,341,8/16/2024,,,
681,618,925,8/16/2024,,,
682,618,926,8/16/2024,,,
683,618,929,8/16/2024,,,
684,618,930,8/16/2024,,,
685,618,932,8/16/2024,,,
1069,619,2686,8/16/2024,,,
1070,619,2687,8/16/2024,,,
1120,620,2853,8/16/2024,,,
1373,621,3199,9/11/2024,,,
1002,622,2197,8/16/2024,PS,,
2442,622,4270,1/22/2025,PS,,
1004,623,2197,8/16/2024,PP,,
1005,623,2205,8/16/2024,PP,,
2440,623,2207,1/22/2025,PP,,
2438,623,4270,1/22/2025,PP,,
2439,623,4271,1/22/2025,PP,,
446,624,1491,8/15/2024,,,
447,624,1492,8/15/2024,,,
1380,625,1861,9/11/2024,,,
1066,626,2810,8/16/2024,,,
710,628,980,8/16/2024,,,
2902,629,2201,7/12/2025,PS,,
1008,630,2202,8/16/2024,PS,,
1009,631,2202,8/16/2024,PP,,
376,632,2201,8/8/2024,,,
377,632,2206,8/8/2024,,,
769,633,1338,8/16/2024,,,
770,633,1339,8/16/2024,,,
1000,634,2194,8/16/2024,,,
561,635,409,8/16/2024,,,
563,635,410,8/16/2024,,,
564,635,411,8/16/2024,,,
565,635,412,8/16/2024,,,
2433,635,413,1/22/2025,,,
2434,635,414,1/22/2025,,,
621,636,588,8/16/2024,,,
1042,637,2363,8/16/2024,,,
1024,638,2250,8/16/2024,,,
1025,638,2251,8/16/2024,,,
378,639,2914,8/8/2024,,,
759,640,1292,8/16/2024,,,
713,641,988,8/16/2024,,,
760,642,1291,8/16/2024,,,
2430,642,1292,1/22/2025,,,
1375,644,3128,9/11/2024,,,
797,645,1523,8/16/2024,,,
379,646,1437,8/8/2024,ｘ2,,
622,647,588,8/16/2024,,,
1017,648,2256,8/16/2024,,,
802,649,1540,8/16/2024,,,
646,650,783,8/16/2024,,,
1113,651,2735,8/16/2024,,,
553,652,381,8/16/2024,,,
791,653,1420,8/16/2024,,,
647,656,791,8/16/2024,,,
535,657,273,8/16/2024,,,
381,659,97,8/8/2024,1Fシャッター,,
380,659,1363,8/8/2024,,,
383,660,2718,8/8/2024,,,
384,660,2719,8/8/2024,,,
385,660,2720,8/8/2024,,,
386,660,2721,8/8/2024,,,
387,660,2770,8/8/2024,,,
388,660,2771,8/8/2024,,,
389,660,2772,8/8/2024,,,
390,660,2773,8/8/2024,,,
382,660,2807,8/8/2024,,,
392,661,2433,8/8/2024,,,
393,661,2434,8/8/2024,,,
394,661,2435,8/8/2024,,,
391,661,2511,8/8/2024,,,
395,661,2774,8/8/2024,,,
397,661,2950,8/8/2024,,,
398,661,2951,8/8/2024,,,
399,661,2952,8/8/2024,,,
396,661,2953,8/8/2024,,,
1059,662,2722,8/16/2024,,,
400,663,628,8/8/2024,,,
404,663,659,8/8/2024,JAE-083ー＞JAE-026,,
401,663,666,8/8/2024,JAE-112ー＞No631　JAE-026カッター270ｘ270,,
403,664,653,8/8/2024,JAE-070　ー＞　JAE-212（高刃カッター）,,
402,664,741,8/8/2024,,,
405,667,2436,8/8/2024,,,
406,667,2714,8/8/2024,,,
407,667,3149,8/8/2024,,,
816,669,1578,8/16/2024,,,
916,670,2015,8/16/2024,,,
917,671,2016,8/16/2024,,,
570,672,419,8/16/2024,,,
413,674,740,8/8/2024,,,
409,674,2718,8/8/2024,,,
410,674,2719,8/8/2024,,,
408,674,2722,8/8/2024,,,
411,674,2770,8/8/2024,,,
412,674,2771,8/8/2024,,,
886,675,1840,8/16/2024,,,
2429,677,3127,1/22/2025,,,
1057,678,2554,8/16/2024,,,
1053,679,2471,8/16/2024,,,
1041,680,2354,8/16/2024,,,
1122,682,2776,8/16/2024,フィルム,,
1121,683,2776,8/16/2024,,,
1051,684,2552,8/16/2024,,,
1048,685,2553,8/16/2024,,,
814,686,1498,8/16/2024,,,
815,686,1499,8/16/2024,,,
803,687,1500,8/16/2024,,,
809,688,1501,8/16/2024,,,
810,689,1509,8/16/2024,,,
813,690,1499,8/16/2024,,,
800,692,1473,8/16/2024,,,
807,693,1515,8/16/2024,,,
801,694,1516,8/16/2024,,,
567,695,407,8/16/2024,XX,,
787,698,1433,8/16/2024,,,
796,699,1434,8/16/2024,,,
1050,700,2680,8/16/2024,,,
576,703,488,8/16/2024,EXD-018,,
577,703,3110,8/16/2024,,,
1076,704,2439,8/16/2024,,,
1077,704,2514,8/16/2024,,,
1078,704,2717,8/16/2024,,,
414,706,890,8/8/2024,,,
415,706,931,8/8/2024,,,
416,707,893,8/8/2024,,,
417,707,925,8/8/2024,,,
418,707,926,8/8/2024,,,
419,707,929,8/8/2024,,,
420,707,930,8/8/2024,,,
421,707,932,8/8/2024,インラインカッター変更,,
423,708,924,8/8/2024,高さ4ｃｍ　新しいプレスカッターある,,
422,708,933,8/8/2024,高さが合わないインラインカッターつかう,,
913,709,1961,8/16/2024,,,
1133,710,2966,8/16/2024,,,
1135,711,2967,8/16/2024,,,
1123,712,2776,8/16/2024,,,
424,713,2284,8/8/2024,,,
425,713,2285,8/8/2024,,,
426,713,2286,8/8/2024,,,
427,713,2287,8/8/2024,,,
953,714,2082,8/16/2024,,,
506,715,156,8/16/2024,,,
505,716,157,8/16/2024,,,
435,721,35,8/9/2024,,,
434,721,3412,8/9/2024,PP,,
516,724,190,8/16/2024,,,
1088,727,2537,8/16/2024,,,
1165,728,3412,,PS,,
451,729,1861,8/16/2024,,,
527,733,228,8/16/2024,,,
537,734,333,8/16/2024,,,
812,735,1473,8/16/2024,,,
429,736,2168,8/9/2024,,,
428,736,2169,8/9/2024,,,
804,737,1476,8/16/2024,,,
1074,740,2695,8/16/2024,,,
1075,740,2696,8/16/2024,,,
805,741,1481,8/16/2024,,,
967,743,1383,8/16/2024,,,
966,743,1384,8/16/2024,,,
965,743,2094,8/16/2024,,,
724,744,1077,8/16/2024,,,
725,744,1081,8/16/2024,,,
1156,745,3095,8/16/2024,,,
890,746,1855,8/16/2024,,,
857,747,1756,8/16/2024,,,
531,748,242,8/16/2024,,,
994,749,2165,8/16/2024,,,
806,750,1483,8/16/2024,,,
912,751,1959,8/16/2024,,,
808,752,1484,8/16/2024,,,
858,753,1757,8/16/2024,,,
979,754,2107,8/16/2024,,,
786,755,1401,8/16/2024,,,
1079,756,2792,8/16/2024,,,
2632,757,2831,1/24/2025,,,
1080,757,2833,8/16/2024,6-142-9A,,
2631,758,2832,1/24/2025,,,
1081,758,2833,8/16/2024,6-142-9B,,
1112,759,2881,8/16/2024,,,
867,760,1761,8/16/2024,,,
528,761,239,8/16/2024,,,
432,762,1129,8/9/2024,,,
433,762,1130,8/9/2024,,,
1143,763,2987,8/16/2024,,,
1144,763,2988,8/16/2024,,,
529,764,237,8/16/2024,,,
2630,765,135,1/24/2025,,,
723,767,1078,8/16/2024,,,
2624,768,526,1/24/2025,,,
1067,769,2588,8/16/2024,,,
1068,770,2523,8/16/2024,,,
501,771,140,8/16/2024,,,
502,772,142,8/16/2024,,,
503,772,145,8/16/2024,,,
468,773,32,8/16/2024,,,
454,774,1861,8/16/2024,,,
2622,774,4291,1/24/2025,,,
2621,775,3511,1/24/2025,,,
825,777,1628,8/16/2024,,,
833,778,1674,8/16/2024,,,
2619,779,3760,1/24/2025,,,
753,780,1120,8/16/2024,,,
754,780,1122,8/16/2024,,,
755,780,2986,8/16/2024,,,
1082,781,2879,8/16/2024,,,
1083,781,2880,8/16/2024,,,
469,782,34,8/16/2024,,,
2618,783,1072,1/24/2025,,,
722,783,1092,8/16/2024,,,
1381,784,3272,9/11/2024,,,
472,785,36,8/16/2024,,,
2617,785,4126,1/24/2025,,,
836,786,1675,8/16/2024,,,
1411,787,3111,9/11/2024,,,
819,788,1585,8/16/2024,,,
1426,789,3104,9/11/2024,,,
843,790,1700,8/16/2024,,,
844,790,1701,8/16/2024,,,
860,791,1750,8/16/2024,,,
