PlasticForFormingID,PlasticMaterialID,PlasticColorID,PlasticThicknessID,PlasticWidthID,PlasticStaticChargeID,Silicone,PlasticCompanyID,IDJobNo,PlasticForFormingCombine,PlasticForFormingNotes,MoldID,JobID,MoldDesignID,PlasticWidth2,PlasticThickness2,UpdatedAt,UpdatedBy
92,1,4,7,6,4,,,,,15枚(無償)＋15枚(無償)＋事務所6枚,,0,4099,0,,,
93,3,3,9,13,4,,,,,10枚(無償)＋150枚(有償)＋事務所2枚,,0,4074,0,,,
94,1,4,7,16,4,,,,,,,0,4218,0,,,
95,2,1,7,16,1,シリコン無,,,,,,0,4215,0,,,
96,2,1,18,13,1,シリコン無,,,,,,0,4220,0,,,
97,1,4,18,5,3,,,,,,,0,4345,0,,,
98,1,6,22,13,1,シリコン無,,,,,,0,4344,0,,,
99,1,4,18,5,3,,,,,,,0,4346,0,,,
100,3,3,13,13,4,,,,,,,0,4356,0,,,
101,3,3,13,13,4,,,,,,,0,4357,0,,,
102,3,3,9,13,4,,,,,,,0,4360,0,,,
103,3,3,13,13,4,,,,,,,0,4362,0,,,
104,3,3,13,13,1,シリコン無,,,,,,0,4363,0,,,
105,1,1,13,5,1,シリコン無,,,,,,0,4371,0,,,
107,2,1,18,25,1,シリコン無,,,,,,0,4370,0,,,
108,2,1,18,25,1,シリコン付,,,,,,0,4369,0,,,
109,1,4,13,1,3,,,,,ミクロームPS,,0,4367,0,,,
110,2,1,13,13,1,シリコン無,,,,,,0,4368,0,,,
111,3,2,9,13,1,シリコン無,,,,,,0,4372,0,,,
112,3,2,9,13,1,シリコン無,,,,,,0,4374,0,,,
113,3,2,9,13,1,シリコン無,,,,,,0,4373,0,,,
114,1,1,7,5,1,シリコン無,,,,,,0,4375,0,,,
115,2,1,18,25,1,シリコン無,,,,,,0,4376,0,,,
117,2,1,22,25,1,シリコン無,,,,,,0,4377,0,,,
118,3,2,9,1,1,シリコン無,,,,,,0,4378,0,,,
120,2,1,9,13,1,シリコン無,,,,,,0,4407,0,,,
121,2,1,9,13,1,シリコン無,,,,,,0,4417,0,,,
122,2,4,18,13,3,,,,,ミクロームPP,,0,4418,0,,,
123,2,1,13,13,1,シリコン無,,,,,,0,4419,0,,,
125,1,1,9,1,1,シリコン無,,,,0.6mm or 0.8mm,,0,4421,0,,,
126,2,4,18,13,3,,,,,ミクロームPP,,0,4428,0,,,
127,3,4,7,24,4,,,,,マルアイ　B-APET,,0,4429,0,,,
128,3,2,9,13,1,シリコン無,,,,,,0,4432,0,,,
129,3,2,9,13,1,シリコン無,,,,,,0,4433,0,,,
130,1,1,13,13,1,シリコン無,,,,,,0,4440,0,,,
131,1,1,13,13,1,シリコン無,,,,,,0,4439,0,,,
132,1,4,13,13,3,,,,,,,0,4438,0,,,
133,3,4,7,1,4,,,,,マルアイ　B-APET,,0,4437,0,,,
134,2,1,13,13,1,シリコン無,,,,,,0,4436,0,,,
135,2,1,9,16,1,シリコン無,,,,,,0,4446,0,,,
136,3,2,9,13,1,シリコン無,,,,,,0,4443,0,,,
137,3,3,9,13,4,,,,,,,0,4445,0,,,
138,3,2,9,13,1,シリコン無,,,,,,0,4444,0,,,
139,2,4,18,13,3,,,,,（ミクロームPP）,,0,4449,0,,,
140,3,2,9,13,1,シリコン無,,,,,,0,4448,0,,,
141,3,2,9,13,1,シリコン無,,,,,,0,4447,0,,,
142,2,4,18,13,3,,,,,（ミクロームPP）,,0,4450,0,,,
143,2,1,13,13,1,シリコン無,,,,,,0,4451,0,,,
145,3,2,13,1,4,,,,,,,0,4455,0,,,
146,3,3,13,13,4,,,,,,,0,4456,0,,,
147,3,4,24,24,4,,,,,（マルアイ：　B-APET）,,0,4457,0,,,
148,3,2,18,26,1,シリコン無,,,,幅690or640,,0,4458,0,,,
149,3,2,18,26,1,シリコン無,,,,幅690or640,,0,4459,0,,,
150,3,2,18,24,1,シリコン無,,,,,,0,4460,0,,,
151,3,2,18,24,1,シリコン無,,,,,,0,4461,0,,,
152,3,2,13,13,1,シリコン無,,,,,,0,4464,0,,,
153,3,2,18,26,1,シリコン無,,,,690 or 640,,0,4465,0,,,
154,3,2,18,26,1,シリコン無,,,,690 or 640,,0,4466,0,,,
155,1,4,7,16,4,,,,,,,0,4467,0,,,
156,3,2,18,24,1,シリコン無,,,,,,0,4462,0,,,
157,3,2,18,24,1,シリコン無,,,,,,0,4463,0,,,
158,3,4,7,24,4,,,,,（マルアイ　B-APET）,,0,4475,0,,,
159,1,4,18,24,3,,,,,,,0,4470,0,,,
160,3,4,11,24,4,,,,,（マルアイ　B-APET）,,0,4528,0,,,
161,1,1,7,5,1,シリコン無,,,,,,0,4529,0,,,
