LocationLogID,OldRackLayer,NewRackLayer,MoldID,CutterID,notes,EmployeeID,DateEntry,UpdatedAt,UpdatedBy
460,,370,3401,,,,2025/01/07 13:17:43,,
461,,370,3092,,,,2025/01/07 13:17:49,,
462,,370,3110,,,,2025/01/07 13:17:54,,
463,,370,5175,,,,2025/01/07 13:18:05,,
464,,370,5176,,,,2025/01/07 13:18:20,,
465,,370,5177,,,,2025/01/07 13:18:39,,
467,,370,5178,,,,2025/01/07 13:19:01,,
468,,370,5179,,,,2025/01/07 13:19:07,,
470,,370,5180,,,,2025/01/07 13:19:23,,
471,,370,5181,,,,2025/01/07 13:19:27,,
472,,370,5182,,,,2025/01/07 13:19:30,,
473,,370,5183,,,,2025/01/07 13:19:33,,
474,,370,5184,,,,2025/01/07 13:19:37,,
475,,370,5185,,,,2025/01/07 13:19:42,,
476,,370,5186,,,,2025/01/07 13:19:44,,
480,,370,5187,,,,2025/01/07 13:20:01,,
481,,370,5188,,,,2025/01/07 13:42:15,,
482,,370,5189,,,,2025/01/07 13:42:40,,
483,,370,5190,,,,2025/01/07 13:42:50,,
484,,370,5191,,,,2025/01/07 13:43:20,,
486,,370,5192,,,,2025/01/07 13:43:41,,
487,,370,5193,,,,2025/01/07 13:43:52,,
488,,370,5194,,,,2025/01/07 13:43:57,,
489,,370,5195,,,,2025/01/07 13:44:03,,
491,,370,5196,,,,2025/01/07 13:44:45,,
492,,370,5197,,,,2025/01/07 13:45:17,,
495,,370,5198,,,,2025/01/07 13:47:18,,
496,,370,5199,,,,2025/01/07 13:47:25,,
497,,370,5200,,,,2025/01/07 13:47:33,,
499,370,125,334,,,,2025/01/07 13:49:07,,
500,370,125,334,,,,2025/01/07 13:49:45,,
501,125,370,334,,,,2025/01/07 13:51:48,,
502,370,125,334,,,,2025/01/07 13:52:04,,
503,,370,5201,,,,2025/01/07 13:53:05,,
504,,370,5202,,,,2025/01/07 13:54:11,,
506,,370,5204,,,,2025/01/07 13:58:42,,
507,,370,5205,,,,2025/01/07 13:58:52,,
509,,370,5206,,,,2025/01/07 14:39:34,,
510,,370,5207,,,,2025/01/07 14:40:15,,
514,,370,5208,,,,2025/01/07 14:42:40,,
523,,370,5209,,,,2025/01/07 14:57:58,,
524,,370,5210,,,,2025/01/07 14:59:37,,
528,,370,5211,,,,2025/01/07 15:12:12,,
530,,370,5213,,,,2025/01/07 17:26:18,,
531,,370,5214,,,,2025/01/07 17:26:57,,
532,,370,5215,,,,2025/01/07 17:27:55,,
533,,370,5216,,,,2025/01/07 17:28:28,,
534,,370,5217,,,,2025/01/07 17:28:34,,
535,,370,5218,,,,2025/01/07 17:28:38,,
536,,370,5219,,,,2025/01/07 17:28:42,,
537,,370,5220,,,,2025/01/07 17:28:47,,
538,,370,5221,,,,2025/01/07 17:29:41,,
539,,370,5222,,,,2025/01/07 17:30:11,,
540,,370,5223,,,,2025/01/07 17:30:18,,
541,,370,5224,,,,2025/01/07 17:30:21,,
542,,370,5225,,,,2025/01/07 17:30:25,,
543,,370,5226,,,,2025/01/07 17:30:28,,
544,,370,5227,,,,2025/01/07 17:30:31,,
545,,370,5228,,,,2025/01/07 17:30:35,,
548,,370,5229,,,,2025/01/07 17:30:48,,
549,,370,5230,,,,2025/01/07 17:30:52,,
552,,370,5231,,,,2025/01/07 17:58:51,,
553,802,370,4280,,,,2025/01/08 10:23:10,,
554,32,370,758,,,,2025/01/08 10:24:05,,
555,370,32,758,,,,2025/01/08 10:24:18,,
556,32,370,758,,,,2025/01/08 10:34:55,,
557,370,32,758,,,,2025/01/08 10:35:17,,
558,,370,5232,,,,2025/01/08 10:36:07,,
559,,370,5233,,,,2025/01/08 10:49:33,,
564,124,370,294,,,,2025/01/08 11:14:42,,
565,370,124,294,,,,2025/01/08 11:34:10,,
566,,370,3288,,,,2025/01/09 16:20:24,,
567,,370,3785,,,,2025/01/09 16:20:42,,
568,,370,5236,,,,2025/01/09 16:20:59,,
569,,370,3786,,,,2025/01/09 16:21:38,,
570,700,64,4764,,,,2025/01/15 14:48:30,,
571,622,704,4960,,,,2025/01/16 13:01:53,,
572,652,704,5041,,,,2025/01/16 13:02:04,,
573,700,710,5110,,,,2025/01/20 8:27:21,,
574,700,31,5234,,,,2025/01/23 10:24:49,,
576,1001,911,,733,,,2025/01/24 14:50:04,,
577,1001,911,,733,,,2025/01/24 14:52:15,,
578,1001,911,,733,,,2025/01/24 15:15:52,,
579,911,1001,,733,,,2025/01/24 15:16:07,,
580,1001,911,,733,,,2025/01/24 15:16:13,,
581,1001,911,,782,,,2025/01/24 15:24:22,,
582,1001,911,,736,,,2025/01/24 15:25:04,,
583,1001,911,,765,,,2025/01/24 15:29:56,,
584,1001,911,,764,,,2025/01/24 15:30:14,,
585,1001,911,,763,,,2025/01/24 15:32:47,,
586,1001,911,,762,,,2025/01/24 15:33:16,,
587,1001,911,,761,,,2025/01/24 15:33:39,,
588,1001,911,,759,,,2025/01/24 15:33:59,,
