CutterMasterID,CutterMasterCode,CutterMasterName,DesignMasterID,CustomerID,TrayID,Status,CreatedAt,UpdatedAt,Notes,UpdatedBy
1077,TE61570-CID-1487,TE-6-157-0,3744,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1487,
1078,SMK181-CID-1501,SMK-181,3746,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1501,
1079,smk180-CID-1502,smk-180,3747,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1502,
1080,ADY084-CID-1503,ADY-084,176,,114,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1503,
1081,ADY080-CID-1504,ADY-080,171,,109,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1504,
1082,DIC017-CID-1505,DIC-017,3748,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1505,
1083,SZT001-CID-1506,SZT-001,2371,,1953,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1506,
1084,KDS070-CID-1507,KDS-070,981,,3941,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1507,
1085,JAE034ZF-CID-1508,JAE-034 ZF,3671,,616,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1508,
1086,DIM001R-CID-1509,DIM-001R,572,,401,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1509,
1087,SSM018-CID-1511,SSM-018,2292,,1889,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1511,
1088,KMG003-CID-1513,KMG-003,3750,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1513,
1089,TE91560-CID-1514,TE-9-156-0,3751,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1514,
1090,OOT010-CID-1515,OOT-010,1879,,1569,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1515,
1091,JAE035ZF-CID-1517,JAE-035 ZF,726,,617,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1517,
1092,YCM033-CID-1520,YCM-033,3269,,2712,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1520,
1093,TSS002R-CID-1522,TSS-002R,3205,,2657,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1522,
1094,ADY070-CID-1523,ADY-070,161,,104,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1523,
1095,te71571-CID-1525,te-7-157-1,3752,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1525,
1096,SKK002-CID-1526,SKK-002,2127,,1776,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1526,
1097,MYS001-CID-1527,MYS-001,3567,,4400,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1527,
1098,FDK005-CID-1528,FDK-005,275,,498,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1528,
1099,HYS001-CID-1529,HYS-001,677,,3909,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1529,
1100,YCM036R-CID-1530,YCM-036 R,3943,,2715,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1530,
1101,PS050-CID-1532,PS-050,3861,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1532,
1102,Other-CID-1534,Other,1937,,2952,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1534,
1103,SKK001-CID-1535,SKK-001,3753,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1535,
1104,MNM004-CID-1537,MNM-004,1458,,1242,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1537,
1105,MNM006-CID-1539,MNM-006,1460,,1244,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1539,
1106,TBG013-CID-1541,TBG-013,2395,,1975,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1541,
1107,SSK006R2-CID-1543,SSK-006 R2,2278,,1875,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1543,
1108,KND012-CID-1545,KND-012,3754,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1545,
1109,SMK182-CID-1548,SMK-182,3648,,4479,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1548,
1110,OHS001-CID-1550,OHS-001,1862,,1556,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1550,
1111,CST003-CID-1551,CST-003,438,,277,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1551,
1112,ADV031-CID-1552,ADV-031,3755,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1552,
1113,TE21560R-CID-1554,TE-2-156-0 R,3756,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1554,
1114,TKD008-CID-1556,TKD-008,3099,,2564,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1556,
1115,TSS001-CID-1558,TSS-001,3204,,2656,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1558,
1116,TCS001-CID-1560,TCS-001,2416,,1995,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1560,
1117,MZT093-CID-1562,MZT-093,1589,,1329,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1562,
1118,HNS001-CID-1564,HNS-001,666,,569,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1564,
1119,GMY029-CID-1569,GMY-029,3757,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1569,
1120,MZT060-CID-1570,MZT-060,1569,,4052,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1570,
1121,ADY065-CID-1572,ADY-065,3758,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1572,
1122,MZT061-CID-1573,MZT-061,3760,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1573,
1123,YCM022-CID-1575,YCM-022,3761,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1575,
1124,NWN001-CID-1577,NWN-001,1812,,1513,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1577,
1125,MZT087-CID-1578,MZT-087,1584,,1324,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1578,
1126,AMP-CID-1598,AMP,313,,3873,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1598,
1127,MZT052-CID-1608,MZT-052,4016,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1608,
1128,SMK105-CID-1611,SMK-105,4010,,4734,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1611,
1129,TE61105-CID-1612,TE-6-110-5,4017,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1612,
1130,NPC005-CID-1614,NPC-005,4018,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1614,
1131,Other-CID-1615,Other,1937,,2952,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1615,
1132,SES001-CID-1617,SES-001,2028,,1695,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1617,
1133,PT525-CID-1619,PT-5-25,4024,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1619,
1134,GW2KR1100-CID-1620,GW-2K-R1-100,4026,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1620,
1135,KSP134-CID-1621,KSP-134,1286,,1085,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1621,
1136,YSDG-CID-1622,YSD-G,4027,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1622,
1137,ODS002-CID-1624,ODS-002,4028,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1624,
1138,V-CID-1625,V,4257,,,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1625,
1139,ELP030-CID-1627,ELP-030,4029,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1627,
1140,SMK061-CID-1628,SMK-061,2174,,4149,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1628,
1141,SMK108-CID-1629,SMK-108,2178,,4152,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1629,
1142,CPL001M-CID-1630,CPL-001M,3769,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1630,
1143,TE81035-CID-1633,TE-8-103-5,4032,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1633,
1144,SMK173-CID-1634,SMK-173,4008,,4734,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1634,
1145,TE00194-CID-1636,TE-0-019-4,2436,,2013,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1636,
1146,DIC017-CID-1637,DIC-017,3748,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1637,
1147,YPC004-CID-1639,YPC-004,3879,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1639,
1148,MKN001-CID-1640,MKN-001,1435,,1219,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1640,
1149,YSDD-CID-1642,YSD-D,4040,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1642,
1150,TE90775-CID-1643,TE-9-077-5,2988,,2457,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1643,
1151,ADY088-CID-1645,ADY-088,180,,3866,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1645,
1152,TE30628-CID-1646,TE-3-062-8,2743,,2257,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1646,
1153,TE70743-CID-1648,TE-7-074-3,4046,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1648,
1154,TE41106-CID-1649,TE-4-110-6,2798,,43,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1649,
1155,TE30230-CID-1651,TE-3-023-0,4048,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1651,
1156,SLK121-CID-1655,SLK-121,3707,,4528,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1655,
1157,TE91430-CID-1657,TE-9-143-0,3952,,4734,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1657,
1158,MSP001-CID-1659,MSP-001,3924,,4717,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1659,
1159,OOT018-CID-1661,OOT-018,1885,,1573,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1661,
1160,TE51578-CID-1663,TE-5-157-8,2867,,2362,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1663,
1161,ADV192-CID-1665,ADV-192,4051,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1665,
1162,DIC026-CID-1667,DIC-026,3771,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1667,
1163,TE70743-CID-1669,TE-7-074-3,4046,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1669,
1164,GMY091-CID-1671,GMY-091,3862,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1671,
1165,TE91305-CID-1675,TE-9-130-5,3954,,4734,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1675,
1166,TE60736-CID-1676,TE-6-073-6,3790,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1676,
1167,CST010-CID-1678,CST-010,4052,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1678,
1168,DIC021-CID-1679,DIC-021,4054,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1679,
1169,TE14472871-CID-1681,TE-1-447287-1,3792,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1681,
1170,TE01082-CID-1683,TE-0-108-2,2466,,2041,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1683,
1171,NPC001-CID-1685,NPC-001,4056,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1685,
1172,NPC-CID-1689,NPC,4232,,,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1689,
1173,YCM024-CID-1691,YCM-024,3261,,2705,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1691,
1174,TE30230-CID-1693,TE-3-023-0,4048,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1693,
1175,ADV025R-CID-1696,ADV-025R,138,,86,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1696,
1176,CGR002PP-CID-1700,CGR-002PP,412,,254,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1700,
1177,SMK145-CID-1701,SMK-145,3967,,4734,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1701,
1178,TE91038-CID-1703,TE-9-103-8,3920,,4713,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1703,
1179,SEW001-CID-1705,SEW-001,3791,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1705,
1180,KDS124-CID-1707,KDS-124,3788,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1707,
1181,MTY001-CID-1709,MTY-001,3822,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1709,
1182,YPC003-CID-1711,YPC-003,3362,,2781,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1711,
1183,-CID-1713,NOKIA,,,,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1713,
1184,SMK161R-CID-1715,SMK-161 R,4059,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1715,
1185,TE01109-CID-1717,TE-0-110-9,2469,,2044,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1717,
1186,K23-CID-1719,K-23,948,,819,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1719,
1187,ODS030-CID-1721,ODS-030,1831,,1531,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1721,
1188,SMK010-CID-1723,SMK-010,2164,,4139,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1723,
1189,MOK005-CID-1725,MOK-005,4061,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1725,
1190,MNM004-CID-1727,MNM-004,1458,,1242,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1727,
1191,SMK087-CID-1729,SMK-087,4062,,,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1729,
